epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,15372,0.40323,0.18901,0.00099,0.99642,0.99327,0.99437,0.97367,0.28374,0.09698,0.00082,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,15541.2,0.40128,0.19066,0.00098,0.99626,0.99338,0.99437,0.97369,0.28366,0.09706,0.00082,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,15710.1,0.40106,0.18947,0.00098,0.99585,0.99331,0.99439,0.97355,0.2838,0.09743,0.00083,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,15878.9,0.40088,0.18649,0.00097,0.99636,0.9935,0.99442,0.97373,0.28383,0.09662,0.00083,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,16047.9,0.39703,0.18077,0.00098,0.99675,0.99347,0.99444,0.97358,0.28384,0.0965,0.00083,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,16216.8,0.39629,0.18666,0.00097,0.99644,0.99341,0.99446,0.97369,0.28365,0.09639,0.00082,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,16385.9,0.39488,0.18686,0.00096,0.99612,0.99332,0.99448,0.97372,0.28354,0.09635,0.00082,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,16554.7,0.39412,0.18479,0.00097,0.99625,0.99407,0.99447,0.97374,0.28322,0.09608,0.00082,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,16723.8,0.39438,0.18405,0.00096,0.99623,0.99399,0.99448,0.97375,0.28317,0.09685,0.00082,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,16893.1,0.39274,0.18076,0.00096,0.99642,0.99364,0.99447,0.97394,0.28302,0.09619,0.00082,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,17062.2,0.3924,0.18092,0.00096,0.99667,0.99394,0.99447,0.9739,0.28292,0.09576,0.00082,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,17231.1,0.38845,0.1818,0.00095,0.99666,0.994,0.9945,0.97377,0.28282,0.09597,0.00082,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,17400.1,0.38913,0.18522,0.00096,0.99654,0.99406,0.99448,0.97364,0.28292,0.09582,0.00082,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,17569.4,0.39099,0.1862,0.00096,0.99682,0.99371,0.99448,0.97373,0.28297,0.09541,0.00082,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,17738.6,0.38786,0.18011,0.00095,0.99658,0.99405,0.9945,0.97367,0.28327,0.09585,0.00082,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
